segment_id,split,vehicle_model,n_windows,min_start,max_end,source_file,relative_source,attack_types,segment_start,segment_end,hist_n_windows,window_size,count_match
Hyundai::Malfunction_HYUNDAI_Sonata_train.csv::full_trace,train,Hyundai,1739,0,87000,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_HYUNDAI_Sonata_train.csv,car_track_preliminary_train/Malfunction_HYUNDAI_Sonata_train.csv,malfunction,0,87000,1739,100,True
Hyundai::Replay_dataset_HY_Sonata_train.csv::full_trace,train,Hyundai,10611,0,530600,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Replay_dataset_HY_Sonata_train.csv,car_track_final_2nd_train/Replay_dataset_HY_Sonata_train.csv,replay,0,530600,10611,100,True
Kia::Attack_free_KIA_Soul_train.csv::full_trace,train,Kia,3849,0,192500,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_KIA_Soul_train.csv,car_track_preliminary_train/Attack_free_KIA_Soul_train.csv,attack_free,0,192500,3849,100,True
Kia::Attack_free_KIA_Soul_train.csv::seg_test,test,Kia,1416,402350,473200,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,attack_free,402350,473200,1416,100,True
Kia::Attack_free_KIA_Soul_train.csv::seg_val,validation,Kia,1416,331400,402250,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,attack_free,331400,402250,1416,100,True
Kia::Attack_free_KIA_Soul_train.csv::train,train,Kia,6625,0,331300,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,attack_free,0,331300,6625,100,True
Kia::Flooding_KIA_Soul_train.csv::full_trace,train,Kia,2399,0,120000,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_KIA_Soul_train.csv,car_track_preliminary_train/Flooding_KIA_Soul_train.csv,flooding,0,120000,2399,100,True
Kia::Fuzzy_KIA_Soul_train.csv::full_trace,train,Kia,2879,0,144000,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_KIA_Soul_train.csv,car_track_preliminary_train/Fuzzy_KIA_Soul_train.csv,fuzzy,0,144000,2879,100,True
Kia::Fuzzy_dataset_KIA_Soul_train.csv::full_trace,test,Kia,9199,0,460000,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Fuzzy_dataset_KIA_Soul_train.csv,car_track_final_1st_train/Fuzzy_dataset_KIA_Soul_train.csv,fuzzy,0,460000,9199,100,True
Kia::Malfunction_1st_dataset_KIA_Soul_train.csv::full_trace,train,Kia,5346,0,267350,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Malfunction_1st_dataset_KIA_Soul_train.csv,car_track_final_1st_train/Malfunction_1st_dataset_KIA_Soul_train.csv,malfunction,0,267350,5346,100,True
Kia::Malfunction_2nd_KIA_Soul_train.csv::full_trace,train,Kia,8009,0,400500,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Malfunction_2nd_KIA_Soul_train.csv,car_track_final_2nd_train/Malfunction_2nd_KIA_Soul_train.csv,malfunction,0,400500,8009,100,True
Kia::Malfunction_KIA_Soul_train.csv::full_trace,train,Kia,2259,0,113000,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_KIA_Soul_train.csv,car_track_preliminary_train/Malfunction_KIA_Soul_train.csv,malfunction,0,113000,2259,100,True
Kia::Replay_dataset_KIA_Soul_train.csv::full_trace,validation,Kia,11325,0,566300,/workspace/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Replay_dataset_KIA_Soul_train.csv,car_track_final_2nd_train/Replay_dataset_KIA_Soul_train.csv,replay,0,566300,11325,100,True
