window_id,vehicle_id,attack_type,anomaly_score,ground_truth_label,descriptor_id,local_alert,cluster_id,selectively_promoted
58268,Kia,attack_free,0.785907,0,EVT-KIA-058268,0,4,1
58280,Kia,attack_free,0.685998,0,EVT-KIA-058280,0,4,1
58372,Kia,attack_free,0.636493,0,EVT-KIA-058372,0,4,1
58422,Kia,attack_free,0.601037,0,EVT-KIA-058422,0,4,1
58689,Kia,attack_free,0.659255,0,EVT-KIA-058689,0,4,1
58721,Kia,attack_free,0.655198,0,EVT-KIA-058721,0,4,1
59024,Kia,attack_free,0.627028,0,EVT-KIA-059024,0,4,1
59201,Kia,attack_free,0.674129,0,EVT-KIA-059201,0,4,1
59233,Kia,attack_free,0.768029,0,EVT-KIA-059233,0,4,1
59263,Kia,attack_free,0.783504,0,EVT-KIA-059263,0,4,1
64225,Kia,attack_free,0.653395,0,EVT-KIA-064225,0,4,1
69164,Kia,flooding,0.792293,1,EVT-KIA-069164,0,4,1
69835,Kia,flooding,0.74061,1,EVT-KIA-069835,0,4,1
72846,Kia,fuzzy,0.642203,1,EVT-KIA-072846,0,4,1
95657,Kia,malfunction,0.751127,1,EVT-KIA-095657,0,4,1
101039,Kia,replay,0.585787,1,EVT-KIA-101039,0,4,1
101238,Kia,replay,0.571064,1,EVT-KIA-101238,0,4,1
