window_id,vehicle_id,vehicle_model,anomaly_score,local_alert,gnn_campaign_score,cluster_id,vehicles_in_cluster,behavioral_cohesion,eval_dominant_attack_type,final_decision
241,Chevrolet,Chevrolet,0.835952,1,0.5605,-1,0,0.0,,isolated_attack
247,Chevrolet,Chevrolet,0.8692,1,0.5603,-1,0,0.0,,isolated_attack
248,Chevrolet,Chevrolet,0.830837,1,0.5202,-1,0,0.0,,isolated_attack
251,Chevrolet,Chevrolet,0.98027,1,0.7037,-1,0,0.0,,isolated_attack
256,Chevrolet,Chevrolet,0.907563,1,0.7439,-1,0,0.0,,isolated_attack
269,Chevrolet,Chevrolet,0.834125,1,0.5665,-1,0,0.0,,isolated_attack
276,Chevrolet,Chevrolet,0.900986,1,0.603,-1,0,0.0,,isolated_attack
279,Chevrolet,Chevrolet,0.812934,1,0.5394,-1,0,0.0,,isolated_attack
294,Chevrolet,Chevrolet,0.990866,1,0.7142,-1,0,0.0,,isolated_attack
296,Chevrolet,Chevrolet,0.964925,1,0.6753,-1,0,0.0,,isolated_attack
317,Chevrolet,Chevrolet,0.933138,1,0.6447,-1,0,0.0,,isolated_attack
319,Chevrolet,Chevrolet,0.811107,1,0.5447,-1,0,0.0,,isolated_attack
325,Chevrolet,Chevrolet,0.960175,1,0.6815,-1,0,0.0,,isolated_attack
326,Chevrolet,Chevrolet,0.89441,1,0.6722,-1,0,0.0,,isolated_attack
331,Chevrolet,Chevrolet,0.918159,1,0.7344,-1,0,0.0,,isolated_attack
339,Chevrolet,Chevrolet,0.881257,1,0.6635,-1,0,0.0,,isolated_attack
345,Chevrolet,Chevrolet,0.812569,1,0.464,-1,0,0.0,,isolated_attack
348,Chevrolet,Chevrolet,0.987212,1,0.7034,-1,0,0.0,,isolated_attack
351,Chevrolet,Chevrolet,0.953964,1,0.6761,-1,0,0.0,,isolated_attack
371,Chevrolet,Chevrolet,0.891487,1,0.5916,-1,0,0.0,,isolated_attack
377,Chevrolet,Chevrolet,0.843259,1,0.5282,-1,0,0.0,,isolated_attack
380,Chevrolet,Chevrolet,0.932408,1,0.7827,-1,0,0.0,,isolated_attack
383,Chevrolet,Chevrolet,0.841067,1,0.5376,-1,0,0.0,,isolated_attack
384,Chevrolet,Chevrolet,0.853124,1,0.6217,-1,0,0.0,,isolated_attack
385,Chevrolet,Chevrolet,0.986847,1,0.7268,-1,0,0.0,,isolated_attack
390,Chevrolet,Chevrolet,0.861893,1,0.6076,-1,0,0.0,,isolated_attack
394,Chevrolet,Chevrolet,0.959079,1,0.8179,-1,0,0.0,,isolated_attack
406,Chevrolet,Chevrolet,0.833029,1,0.5749,-1,0,0.0,,isolated_attack
408,Chevrolet,Chevrolet,0.965656,1,0.6983,-1,0,0.0,,isolated_attack
417,Chevrolet,Chevrolet,0.901717,1,0.6854,-1,0,0.0,,isolated_attack
423,Chevrolet,Chevrolet,0.886737,1,0.6625,-1,0,0.0,,isolated_attack
424,Chevrolet,Chevrolet,0.917062,1,0.7065,-1,0,0.0,,isolated_attack
426,Chevrolet,Chevrolet,0.959445,1,0.8329,-1,0,0.0,,isolated_attack
431,Chevrolet,Chevrolet,0.982828,1,0.8614,-1,0,0.0,,isolated_attack
432,Chevrolet,Chevrolet,0.944465,1,0.6718,-1,0,0.0,,isolated_attack
436,Chevrolet,Chevrolet,0.872488,1,0.6084,-1,0,0.0,,isolated_attack
440,Chevrolet,Chevrolet,0.87468,1,0.673,-1,0,0.0,,isolated_attack
444,Chevrolet,Chevrolet,0.908659,1,0.6204,-1,0,0.0,,isolated_attack
448,Chevrolet,Chevrolet,0.827183,1,0.5707,-1,0,0.0,,isolated_attack
449,Chevrolet,Chevrolet,0.994154,1,0.8564,-1,0,0.0,,isolated_attack
454,Chevrolet,Chevrolet,0.903909,1,0.6863,-1,0,0.0,,isolated_attack
456,Chevrolet,Chevrolet,0.854951,1,0.5509,-1,0,0.0,,isolated_attack
464,Chevrolet,Chevrolet,0.981732,1,0.8247,-1,0,0.0,,isolated_attack
472,Chevrolet,Chevrolet,0.8597,1,0.6331,-1,0,0.0,,isolated_attack
477,Chevrolet,Chevrolet,0.842528,1,0.5706,-1,0,0.0,,isolated_attack
478,Chevrolet,Chevrolet,0.97479,1,0.7162,-1,0,0.0,,isolated_attack
480,Chevrolet,Chevrolet,0.886007,1,0.5873,-1,0,0.0,,isolated_attack
482,Chevrolet,Chevrolet,0.970771,1,0.8145,-1,0,0.0,,isolated_attack
486,Chevrolet,Chevrolet,0.915966,1,0.7078,-1,0,0.0,,isolated_attack
489,Chevrolet,Chevrolet,0.847643,1,0.6001,-1,0,0.0,,isolated_attack
490,Chevrolet,Chevrolet,0.951407,1,0.6708,-1,0,0.0,,isolated_attack
500,Chevrolet,Chevrolet,0.846547,1,0.5423,-1,0,0.0,,isolated_attack
501,Chevrolet,Chevrolet,0.930216,1,0.6481,-1,0,0.0,,isolated_attack
502,Chevrolet,Chevrolet,0.923639,1,0.6256,-1,0,0.0,,isolated_attack
518,Chevrolet,Chevrolet,0.927293,1,0.7529,-1,0,0.0,,isolated_attack
521,Chevrolet,Chevrolet,0.891122,1,0.6709,-1,0,0.0,,isolated_attack
523,Chevrolet,Chevrolet,0.982463,1,0.8719,-1,0,0.0,,isolated_attack
524,Chevrolet,Chevrolet,0.981366,1,0.854,-1,0,0.0,,isolated_attack
528,Chevrolet,Chevrolet,0.934965,1,0.7674,-1,0,0.0,,isolated_attack
535,Chevrolet,Chevrolet,0.880891,1,0.6401,-1,0,0.0,,isolated_attack
541,Chevrolet,Chevrolet,0.968213,1,0.8523,-1,0,0.0,,isolated_attack
547,Chevrolet,Chevrolet,0.879795,1,0.5785,-1,0,0.0,,isolated_attack
560,Chevrolet,Chevrolet,0.80928,1,0.5112,-1,0,0.0,,isolated_attack
569,Chevrolet,Chevrolet,0.95433,1,0.8604,-1,0,0.0,,isolated_attack
570,Chevrolet,Chevrolet,0.991962,1,0.7306,-1,0,0.0,,isolated_attack
587,Chevrolet,Chevrolet,0.883449,1,0.6776,-1,0,0.0,,isolated_attack
590,Chevrolet,Chevrolet,0.973694,1,0.8493,-1,0,0.0,,isolated_attack
608,Chevrolet,Chevrolet,0.955426,1,0.6686,-1,0,0.0,,isolated_attack
611,Chevrolet,Chevrolet,0.910851,1,0.6077,-1,0,0.0,,isolated_attack
615,Chevrolet,Chevrolet,0.91414,1,0.7765,-1,0,0.0,,isolated_attack
616,Chevrolet,Chevrolet,0.985385,1,0.7302,-1,0,0.0,,isolated_attack
618,Chevrolet,Chevrolet,0.95981,1,0.8107,-1,0,0.0,,isolated_attack
620,Chevrolet,Chevrolet,0.809646,1,0.5133,-1,0,0.0,,isolated_attack
629,Chevrolet,Chevrolet,0.977713,1,0.6967,-1,0,0.0,,isolated_attack
633,Chevrolet,Chevrolet,0.936427,1,0.7986,-1,0,0.0,,isolated_attack
637,Chevrolet,Chevrolet,0.865546,1,0.6045,-1,0,0.0,,isolated_attack
639,Chevrolet,Chevrolet,0.831202,1,0.5964,-1,0,0.0,,isolated_attack
652,Chevrolet,Chevrolet,0.827914,1,0.5839,-1,0,0.0,,isolated_attack
659,Chevrolet,Chevrolet,0.917793,1,0.7328,-1,0,0.0,,isolated_attack
661,Chevrolet,Chevrolet,0.928754,1,0.7814,-1,0,0.0,,isolated_attack
662,Chevrolet,Chevrolet,0.903179,1,0.6911,-1,0,0.0,,isolated_attack
663,Chevrolet,Chevrolet,0.830471,1,0.5874,-1,0,0.0,,isolated_attack
664,Chevrolet,Chevrolet,0.845451,1,0.5421,-1,0,0.0,,isolated_attack
679,Chevrolet,Chevrolet,0.816953,1,0.568,-1,0,0.0,,isolated_attack
682,Chevrolet,Chevrolet,0.974425,1,0.85,-1,0,0.0,,isolated_attack
684,Chevrolet,Chevrolet,0.938254,1,0.7991,-1,0,0.0,,isolated_attack
685,Chevrolet,Chevrolet,0.962002,1,0.6985,-1,0,0.0,,isolated_attack
694,Chevrolet,Chevrolet,0.81403,1,0.5604,-1,0,0.0,,isolated_attack
695,Chevrolet,Chevrolet,0.941907,1,0.7709,-1,0,0.0,,isolated_attack
697,Chevrolet,Chevrolet,0.813665,1,0.4794,-1,0,0.0,,isolated_attack
699,Chevrolet,Chevrolet,0.810376,1,0.5543,-1,0,0.0,,isolated_attack
707,Chevrolet,Chevrolet,0.988308,1,0.7258,-1,0,0.0,,isolated_attack
708,Chevrolet,Chevrolet,0.989404,1,0.8603,-1,0,0.0,,isolated_attack
710,Chevrolet,Chevrolet,0.813299,1,0.5254,-1,0,0.0,,isolated_attack
711,Chevrolet,Chevrolet,0.833394,1,0.5312,-1,0,0.0,,isolated_attack
721,Chevrolet,Chevrolet,0.966752,1,0.6897,-1,0,0.0,,isolated_attack
723,Chevrolet,Chevrolet,0.829375,1,0.5178,-1,0,0.0,,isolated_attack
730,Chevrolet,Chevrolet,0.909755,1,0.7514,-1,0,0.0,,isolated_attack
731,Chevrolet,Chevrolet,0.967483,1,0.8534,-1,0,0.0,,isolated_attack
753,Chevrolet,Chevrolet,0.991597,1,0.8731,-1,0,0.0,,isolated_attack
754,Chevrolet,Chevrolet,0.984289,1,0.8734,-1,0,0.0,,isolated_attack
762,Chevrolet,Chevrolet,0.810742,1,0.5754,-1,0,0.0,,isolated_attack
768,Chevrolet,Chevrolet,0.89989,1,0.7035,-1,0,0.0,,isolated_attack
772,Chevrolet,Chevrolet,0.96529,1,0.8147,-1,0,0.0,,isolated_attack
773,Chevrolet,Chevrolet,0.958349,1,0.7989,-1,0,0.0,,isolated_attack
774,Chevrolet,Chevrolet,0.932773,1,0.6296,-1,0,0.0,,isolated_attack
776,Chevrolet,Chevrolet,0.998539,1,0.8854,-1,0,0.0,,isolated_attack
777,Chevrolet,Chevrolet,0.985751,1,0.8689,-1,0,0.0,,isolated_attack
780,Chevrolet,Chevrolet,0.896967,1,0.703,-1,0,0.0,,isolated_attack
783,Chevrolet,Chevrolet,0.984655,1,0.7034,-1,0,0.0,,isolated_attack
799,Chevrolet,Chevrolet,0.980636,1,0.8654,-1,0,0.0,,isolated_attack
800,Chevrolet,Chevrolet,0.893314,1,0.6795,-1,0,0.0,,isolated_attack
803,Chevrolet,Chevrolet,0.966387,1,0.8478,-1,0,0.0,,isolated_attack
822,Chevrolet,Chevrolet,0.997808,1,0.8901,-1,0,0.0,,isolated_attack
823,Chevrolet,Chevrolet,0.982097,1,0.8701,-1,0,0.0,,isolated_attack
826,Chevrolet,Chevrolet,0.822433,1,0.578,-1,0,0.0,,isolated_attack
845,Chevrolet,Chevrolet,0.995616,1,0.8881,-1,0,0.0,,isolated_attack
846,Chevrolet,Chevrolet,0.951772,1,0.8364,-1,0,0.0,,isolated_attack
847,Chevrolet,Chevrolet,0.916697,1,0.73,-1,0,0.0,,isolated_attack
848,Chevrolet,Chevrolet,0.94958,1,0.8225,-1,0,0.0,,isolated_attack
858,Chevrolet,Chevrolet,0.949945,1,0.6544,-1,0,0.0,,isolated_attack
868,Chevrolet,Chevrolet,0.93935,1,0.7793,-1,0,0.0,,isolated_attack
869,Chevrolet,Chevrolet,0.957618,1,0.8487,-1,0,0.0,,isolated_attack
872,Chevrolet,Chevrolet,0.894045,1,0.7011,-1,0,0.0,,isolated_attack
878,Chevrolet,Chevrolet,0.886372,1,0.6203,-1,0,0.0,,isolated_attack
881,Chevrolet,Chevrolet,0.981001,1,0.6981,-1,0,0.0,,isolated_attack
890,Chevrolet,Chevrolet,0.862989,1,0.5785,-1,0,0.0,,isolated_attack
891,Chevrolet,Chevrolet,0.98502,1,0.84,-1,0,0.0,,isolated_attack
901,Chevrolet,Chevrolet,0.98977,1,0.8854,-1,0,0.0,,isolated_attack
914,Chevrolet,Chevrolet,0.962733,1,0.8081,-1,0,0.0,,isolated_attack
915,Chevrolet,Chevrolet,0.976617,1,0.8459,-1,0,0.0,,isolated_attack
918,Chevrolet,Chevrolet,0.862623,1,0.5681,-1,0,0.0,,isolated_attack
921,Chevrolet,Chevrolet,0.841798,1,0.5979,-1,0,0.0,,isolated_attack
923,Chevrolet,Chevrolet,0.879065,1,0.6085,-1,0,0.0,,isolated_attack
927,Chevrolet,Chevrolet,0.877603,1,0.6669,0,3,0.9459,malfunction,coordinated_attack
930,Chevrolet,Chevrolet,0.953599,1,0.8036,-1,0,0.0,,isolated_attack
935,Chevrolet,Chevrolet,0.808915,1,0.5062,-1,0,0.0,,isolated_attack
937,Chevrolet,Chevrolet,0.996712,1,0.8623,-1,0,0.0,,isolated_attack
938,Chevrolet,Chevrolet,0.883814,1,0.6266,-1,0,0.0,,isolated_attack
940,Chevrolet,Chevrolet,0.866642,1,0.6278,-1,0,0.0,,isolated_attack
941,Chevrolet,Chevrolet,0.804165,1,0.5355,-1,0,0.0,,isolated_attack
944,Chevrolet,Chevrolet,0.83924,1,0.6117,-1,0,0.0,,isolated_attack
947,Chevrolet,Chevrolet,0.928389,1,0.6407,-1,0,0.0,,isolated_attack
949,Chevrolet,Chevrolet,0.882718,1,0.6464,-1,0,0.0,,isolated_attack
950,Chevrolet,Chevrolet,0.902448,1,0.6973,0,3,0.9459,malfunction,coordinated_attack
951,Chevrolet,Chevrolet,0.835221,1,0.578,-1,0,0.0,,isolated_attack
957,Chevrolet,Chevrolet,0.999269,1,0.7206,-1,0,0.0,,isolated_attack
959,Chevrolet,Chevrolet,0.838875,1,0.5565,-1,0,0.0,,isolated_attack
960,Chevrolet,Chevrolet,0.943369,1,0.8008,-1,0,0.0,,isolated_attack
961,Chevrolet,Chevrolet,0.928023,1,0.7655,-1,0,0.0,,isolated_attack
964,Chevrolet,Chevrolet,0.954695,1,0.8225,-1,0,0.0,,isolated_attack
968,Chevrolet,Chevrolet,0.913774,1,0.7509,-1,0,0.0,,isolated_attack
976,Chevrolet,Chevrolet,0.924004,1,0.7695,-1,0,0.0,,isolated_attack
982,Chevrolet,Chevrolet,0.910486,1,0.6303,-1,0,0.0,,isolated_attack
983,Chevrolet,Chevrolet,0.986482,1,0.8565,-1,0,0.0,,isolated_attack
984,Chevrolet,Chevrolet,0.920351,1,0.7356,-1,0,0.0,,isolated_attack
996,Chevrolet,Chevrolet,0.942273,1,0.7892,-1,0,0.0,,isolated_attack
1005,Chevrolet,Chevrolet,0.936061,1,0.7379,-1,0,0.0,,isolated_attack
1006,Chevrolet,Chevrolet,0.917428,1,0.703,-1,0,0.0,,isolated_attack
1007,Chevrolet,Chevrolet,0.937157,1,0.76,-1,0,0.0,,isolated_attack
1013,Chevrolet,Chevrolet,0.931677,1,0.7927,-1,0,0.0,,isolated_attack
1019,Chevrolet,Chevrolet,0.876507,1,0.6616,0,3,0.9459,malfunction,coordinated_attack
1022,Chevrolet,Chevrolet,0.923274,1,0.7552,-1,0,0.0,,isolated_attack
1028,Chevrolet,Chevrolet,0.92985,1,0.7501,-1,0,0.0,,isolated_attack
1031,Chevrolet,Chevrolet,0.829741,1,0.5438,-1,0,0.0,,isolated_attack
1032,Chevrolet,Chevrolet,0.841432,1,0.5919,-1,0,0.0,,isolated_attack
1039,Chevrolet,Chevrolet,0.905736,1,0.7266,-1,0,0.0,,isolated_attack
1042,Chevrolet,Chevrolet,0.970406,1,0.8431,-1,0,0.0,,isolated_attack
1049,Chevrolet,Chevrolet,0.838509,1,0.6077,-1,0,0.0,,isolated_attack
1052,Chevrolet,Chevrolet,0.856777,1,0.6031,-1,0,0.0,,isolated_attack
1053,Chevrolet,Chevrolet,0.872123,1,0.6196,-1,0,0.0,,isolated_attack
1062,Chevrolet,Chevrolet,0.819876,1,0.5218,-1,0,0.0,,isolated_attack
1068,Chevrolet,Chevrolet,0.893679,1,0.6994,0,3,0.9459,malfunction,coordinated_attack
1070,Chevrolet,Chevrolet,0.936792,1,0.7778,-1,0,0.0,,isolated_attack
1074,Chevrolet,Chevrolet,0.838144,1,0.5459,-1,0,0.0,,isolated_attack
1075,Chevrolet,Chevrolet,0.926197,1,0.7346,-1,0,0.0,,isolated_attack
1076,Chevrolet,Chevrolet,0.842163,1,0.5836,-1,0,0.0,,isolated_attack
1078,Chevrolet,Chevrolet,0.919985,1,0.7432,-1,0,0.0,,isolated_attack
1086,Chevrolet,Chevrolet,0.818049,1,0.5523,-1,0,0.0,,isolated_attack
1087,Chevrolet,Chevrolet,0.988674,1,0.8494,-1,0,0.0,,isolated_attack
1095,Chevrolet,Chevrolet,0.964194,1,0.8412,-1,0,0.0,,isolated_attack
1097,Chevrolet,Chevrolet,0.927658,1,0.7492,-1,0,0.0,,isolated_attack
1098,Chevrolet,Chevrolet,0.85422,1,0.5954,-1,0,0.0,,isolated_attack
1099,Chevrolet,Chevrolet,0.853855,1,0.5936,-1,0,0.0,,isolated_attack
1107,Chevrolet,Chevrolet,0.804896,1,0.5109,-1,0,0.0,,isolated_attack
1111,Chevrolet,Chevrolet,0.815491,1,0.5619,-1,0,0.0,,isolated_attack
1114,Chevrolet,Chevrolet,0.956156,1,0.8326,-1,0,0.0,,isolated_attack
1116,Chevrolet,Chevrolet,0.846182,1,0.5327,-1,0,0.0,,isolated_attack
1120,Chevrolet,Chevrolet,0.907198,1,0.6875,-1,0,0.0,,isolated_attack
1121,Chevrolet,Chevrolet,0.807453,1,0.5481,-1,0,0.0,,isolated_attack
1122,Chevrolet,Chevrolet,0.871757,1,0.6219,-1,0,0.0,,isolated_attack
1124,Chevrolet,Chevrolet,0.974059,1,0.816,-1,0,0.0,,isolated_attack
1131,Chevrolet,Chevrolet,0.873584,1,0.6351,-1,0,0.0,,isolated_attack
1134,Chevrolet,Chevrolet,0.850201,1,0.5954,-1,0,0.0,,isolated_attack
1160,Chevrolet,Chevrolet,0.975155,1,0.8501,-1,0,0.0,,isolated_attack
1166,Chevrolet,Chevrolet,0.911582,1,0.7152,-1,0,0.0,,isolated_attack
1170,Chevrolet,Chevrolet,0.918889,1,0.758,-1,0,0.0,,isolated_attack
1177,Chevrolet,Chevrolet,0.892583,1,0.683,-1,0,0.0,,isolated_attack
1179,Chevrolet,Chevrolet,0.993423,1,0.8556,-1,0,0.0,,isolated_attack
1181,Chevrolet,Chevrolet,0.946292,1,0.6482,-1,0,0.0,,isolated_attack
1183,Chevrolet,Chevrolet,0.978078,1,0.841,-1,0,0.0,,isolated_attack
1189,Chevrolet,Chevrolet,0.900621,1,0.6793,-1,0,0.0,,isolated_attack
1209,Chevrolet,Chevrolet,0.806357,1,0.4936,-1,0,0.0,,isolated_attack
1211,Chevrolet,Chevrolet,0.935696,1,0.8182,-1,0,0.0,,isolated_attack
1214,Chevrolet,Chevrolet,0.987578,1,0.8401,-1,0,0.0,,isolated_attack
1217,Chevrolet,Chevrolet,0.901352,1,0.6128,-1,0,0.0,,isolated_attack
1226,Chevrolet,Chevrolet,0.875411,1,0.6295,-1,0,0.0,,isolated_attack
1234,Chevrolet,Chevrolet,0.817318,1,0.5312,-1,0,0.0,,isolated_attack
1245,Chevrolet,Chevrolet,0.888564,1,0.6962,-1,0,0.0,,isolated_attack
1252,Chevrolet,Chevrolet,0.941176,1,0.8193,-1,0,0.0,,isolated_attack
1258,Chevrolet,Chevrolet,0.955791,1,0.759,-1,0,0.0,,isolated_attack
1263,Chevrolet,Chevrolet,0.897333,1,0.7034,-1,0,0.0,,isolated_attack
1270,Chevrolet,Chevrolet,0.845817,1,0.5852,-1,0,0.0,,isolated_attack
1271,Chevrolet,Chevrolet,0.880526,1,0.6033,-1,0,0.0,,isolated_attack
1281,Chevrolet,Chevrolet,0.906832,1,0.6994,-1,0,0.0,,isolated_attack
1282,Chevrolet,Chevrolet,0.825722,1,0.5018,-1,0,0.0,,isolated_attack
1283,Chevrolet,Chevrolet,0.857143,1,0.5334,-1,0,0.0,,isolated_attack
1299,Chevrolet,Chevrolet,0.909024,1,0.7189,-1,0,0.0,,isolated_attack
1301,Chevrolet,Chevrolet,0.858604,1,0.5655,-1,0,0.0,,isolated_attack
1309,Chevrolet,Chevrolet,0.803434,1,0.5271,-1,0,0.0,,isolated_attack
1317,Chevrolet,Chevrolet,0.972232,1,0.8348,-1,0,0.0,,isolated_attack
1321,Chevrolet,Chevrolet,0.940811,1,0.813,-1,0,0.0,,isolated_attack
1326,Chevrolet,Chevrolet,0.891852,1,0.6956,-1,0,0.0,,isolated_attack
1350,Chevrolet,Chevrolet,0.846913,1,0.5706,-1,0,0.0,,isolated_attack
1351,Chevrolet,Chevrolet,0.992693,1,0.7112,-1,0,0.0,,isolated_attack
1355,Chevrolet,Chevrolet,0.900256,1,0.7134,-1,0,0.0,,isolated_attack
1361,Chevrolet,Chevrolet,0.895506,1,0.6968,-1,0,0.0,,isolated_attack
1363,Chevrolet,Chevrolet,0.995981,1,0.7306,-1,0,0.0,,isolated_attack
1365,Chevrolet,Chevrolet,0.910121,1,0.6906,-1,0,0.0,,isolated_attack
1368,Chevrolet,Chevrolet,0.912313,1,0.7359,-1,0,0.0,,isolated_attack
1372,Chevrolet,Chevrolet,0.854585,1,0.6119,-1,0,0.0,,isolated_attack
1373,Chevrolet,Chevrolet,0.925466,1,0.7218,-1,0,0.0,,isolated_attack
1374,Chevrolet,Chevrolet,0.835586,1,0.5125,-1,0,0.0,,isolated_attack
1375,Chevrolet,Chevrolet,0.881988,1,0.6101,-1,0,0.0,,isolated_attack
1392,Chevrolet,Chevrolet,0.868469,1,0.6064,-1,0,0.0,,isolated_attack
1393,Chevrolet,Chevrolet,0.963464,1,0.7985,-1,0,0.0,,isolated_attack
1397,Chevrolet,Chevrolet,0.885276,1,0.6284,-1,0,0.0,,isolated_attack
1399,Chevrolet,Chevrolet,0.898064,1,0.682,-1,0,0.0,,isolated_attack
1409,Chevrolet,Chevrolet,0.801608,1,0.5015,-1,0,0.0,,isolated_attack
1438,Chevrolet,Chevrolet,0.969309,1,0.8354,-1,0,0.0,,isolated_attack
1439,Chevrolet,Chevrolet,0.91962,1,0.7402,-1,0,0.0,,isolated_attack
1441,Chevrolet,Chevrolet,0.894775,1,0.6477,-1,0,0.0,,isolated_attack
1442,Chevrolet,Chevrolet,0.876142,1,0.6342,-1,0,0.0,,isolated_attack
1464,Chevrolet,Chevrolet,0.857874,1,0.5998,-1,0,0.0,,isolated_attack
1465,Chevrolet,Chevrolet,0.855316,1,0.5939,-1,0,0.0,,isolated_attack
1484,Chevrolet,Chevrolet,0.830106,1,0.5675,-1,0,0.0,,isolated_attack
1487,Chevrolet,Chevrolet,0.949214,1,0.6701,-1,0,0.0,,isolated_attack
1489,Chevrolet,Chevrolet,0.938619,1,0.7269,-1,0,0.0,,isolated_attack
1491,Chevrolet,Chevrolet,0.946657,1,0.804,-1,0,0.0,,isolated_attack
1493,Chevrolet,Chevrolet,0.937888,1,0.7806,-1,0,0.0,,isolated_attack
1500,Chevrolet,Chevrolet,0.873219,1,0.6137,-1,0,0.0,,isolated_attack
1501,Chevrolet,Chevrolet,0.939715,1,0.7884,-1,0,0.0,,isolated_attack
1508,Chevrolet,Chevrolet,0.921081,1,0.7305,-1,0,0.0,,isolated_attack
1511,Chevrolet,Chevrolet,0.884545,1,0.6167,-1,0,0.0,,isolated_attack
1512,Chevrolet,Chevrolet,0.820972,1,0.4982,-1,0,0.0,,isolated_attack
1518,Chevrolet,Chevrolet,0.83376,1,0.6045,-1,0,0.0,,isolated_attack
1520,Chevrolet,Chevrolet,0.962368,1,0.7783,-1,0,0.0,,isolated_attack
1521,Chevrolet,Chevrolet,0.823895,1,0.5586,-1,0,0.0,,isolated_attack
1533,Chevrolet,Chevrolet,0.958714,1,0.8147,-1,0,0.0,,isolated_attack
1535,Chevrolet,Chevrolet,0.915601,1,0.6814,-1,0,0.0,,isolated_attack
1537,Chevrolet,Chevrolet,0.86445,1,0.6209,-1,0,0.0,,isolated_attack
1543,Chevrolet,Chevrolet,0.911947,1,0.7106,-1,0,0.0,,isolated_attack
1553,Chevrolet,Chevrolet,0.895871,1,0.7094,-1,0,0.0,,isolated_attack
1556,Chevrolet,Chevrolet,0.874315,1,0.6331,-1,0,0.0,,isolated_attack
1564,Chevrolet,Chevrolet,0.937523,1,0.7967,-1,0,0.0,,isolated_attack
1566,Chevrolet,Chevrolet,0.843624,1,0.5462,-1,0,0.0,,isolated_attack
1576,Chevrolet,Chevrolet,0.812203,1,0.5608,-1,0,0.0,,isolated_attack
1579,Chevrolet,Chevrolet,0.933504,1,0.7953,-1,0,0.0,,isolated_attack
1581,Chevrolet,Chevrolet,0.890026,1,0.6431,-1,0,0.0,,isolated_attack
1583,Chevrolet,Chevrolet,0.969675,1,0.6903,-1,0,0.0,,isolated_attack
1589,Chevrolet,Chevrolet,0.881622,1,0.5879,-1,0,0.0,,isolated_attack
1596,Chevrolet,Chevrolet,0.867738,1,0.5931,-1,0,0.0,,isolated_attack
1599,Chevrolet,Chevrolet,0.805627,1,0.5759,-1,0,0.0,,isolated_attack
1602,Chevrolet,Chevrolet,0.858239,1,0.6126,-1,0,0.0,,isolated_attack
1605,Chevrolet,Chevrolet,0.864085,1,0.596,-1,0,0.0,,isolated_attack
1606,Chevrolet,Chevrolet,0.930581,1,0.7827,-1,0,0.0,,isolated_attack
