event_id,vehicle_model,attack_type,algorithm,cluster_id,n_vehicles_in_cluster,mean_behavioural_similarity,final_classification
EVT-CHV-000901,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000914,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000927,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000930,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000937,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000938,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000947,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000949,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000957,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000959,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000961,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000964,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000976,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000982,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000983,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-000984,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001005,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001039,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001074,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001087,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001097,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001098,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001099,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001160,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001166,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001170,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001177,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001179,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001181,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001183,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001189,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001214,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001258,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001317,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001350,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001351,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001363,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001373,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001393,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001438,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001439,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001442,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001464,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001485,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001491,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001493,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001511,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001520,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001533,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001535,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001537,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001539,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001564,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001577,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001581,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001583,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001625,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001627,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001629,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001652,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001655,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001681,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001694,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001719,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001740,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001784,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001790,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001797,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001802,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-001805,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001810,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001818,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001822,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001828,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001879,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001887,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001891,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001897,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001902,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001906,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001920,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001925,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001933,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001948,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001971,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001973,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001979,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-001994,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002017,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002025,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002048,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002063,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002080,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002086,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002087,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002100,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002120,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002126,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002132,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002133,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002178,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002201,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002224,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002225,Chevrolet,attack_free,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002229,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002247,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002270,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002287,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002293,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002321,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002339,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002343,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002359,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002362,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002363,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002365,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002385,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002386,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002411,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002431,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002435,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002454,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002458,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002468,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002477,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002481,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002490,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002500,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002503,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002513,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002523,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002527,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002546,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002549,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002560,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002565,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002569,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002582,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002592,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002615,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002638,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002657,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002661,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002674,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002707,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002720,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002730,Chevrolet,attack_free,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002737,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002738,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002739,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002740,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002741,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002742,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002743,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002744,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002745,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002746,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002747,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002748,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002749,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002750,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002751,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002752,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002753,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002754,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002755,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002756,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002757,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002758,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002759,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002760,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002761,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002762,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002763,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002764,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002765,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002766,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002767,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002768,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002769,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002770,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002771,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002772,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002773,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002774,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002775,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002776,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002777,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002778,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002779,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002780,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002781,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002782,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002783,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002784,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002785,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002786,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002787,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002788,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002789,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002790,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002791,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002792,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002793,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002794,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002795,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002796,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002797,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002798,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002799,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002800,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002801,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002802,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002803,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002804,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002805,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002806,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002807,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002808,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002809,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002810,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002811,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002812,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002813,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002814,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002815,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002816,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002817,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002818,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002819,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002820,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002821,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002822,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002823,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002824,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002825,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002826,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002827,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002828,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002829,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002830,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002831,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002832,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002833,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
EVT-CHV-002834,Chevrolet,flooding,kmeans,4,1,0.99381,Isolated anomaly
EVT-CHV-002835,Chevrolet,flooding,dbscan,0,1,0.998777,Isolated anomaly
