source_file,vehicle_model,attack_type,split,segment_id,segment_start,segment_end,guard_start,guard_end,row_count,window_count,overlap_count,validation_status,split_method
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Attack_free_KIA_Soul_train.csv,Kia,attack_free,test,Kia::Attack_free_KIA_Soul_train.csv::seg_test,402350,473200,,,,1416,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Fuzzy_dataset_KIA_Soul_train.csv,Kia,fuzzy,test,Kia::Fuzzy_dataset_KIA_Soul_train.csv::full_trace,0,460000,,,,9199,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_1st_train/Malfunction_1st_dataset_KIA_Soul_train.csv,Kia,malfunction,train,Kia::Malfunction_1st_dataset_KIA_Soul_train.csv::full_trace,0,267350,,,,5346,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Malfunction_2nd_KIA_Soul_train.csv,Kia,malfunction,train,Kia::Malfunction_2nd_KIA_Soul_train.csv::full_trace,0,400500,,,,8009,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_final_2nd_train/Replay_dataset_KIA_Soul_train.csv,Kia,replay,validation,Kia::Replay_dataset_KIA_Soul_train.csv::full_trace,0,566300,,,,11325,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_KIA_Soul_train.csv,Kia,attack_free,train,Kia::Attack_free_KIA_Soul_train.csv::full_trace,0,192500,,,,3849,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_KIA_Soul_train.csv,Kia,flooding,train,Kia::Flooding_KIA_Soul_train.csv::full_trace,0,120000,,,,2399,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_KIA_Soul_train.csv,Kia,fuzzy,train,Kia::Fuzzy_KIA_Soul_train.csv::full_trace,0,144000,,,,2879,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_KIA_Soul_train.csv,Kia,malfunction,train,Kia::Malfunction_KIA_Soul_train.csv::full_trace,0,113000,,,,2259,0,pass,complete_trace
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,Chevrolet,attack_free,train,Chevrolet::Attack_free_CHEVROLET_Spark_train.csv::train,0,95800,95800,95900,,1915,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,Chevrolet,attack_free,validation,Chevrolet::Attack_free_CHEVROLET_Spark_train.csv::seg_val,95900,116350,116350,116450,,408,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Attack_free_CHEVROLET_Spark_train.csv,Chevrolet,attack_free,test,Chevrolet::Attack_free_CHEVROLET_Spark_train.csv::seg_test,116450,136900,,,,408,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_CHEVROLET_Spark_train.csv,Chevrolet,flooding,train,Chevrolet::Flooding_CHEVROLET_Spark_train.csv::train,0,59500,59500,59600,,1189,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_CHEVROLET_Spark_train.csv,Chevrolet,flooding,validation,Chevrolet::Flooding_CHEVROLET_Spark_train.csv::seg_val,59600,72250,72250,72350,,252,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Flooding_CHEVROLET_Spark_train.csv,Chevrolet,flooding,test,Chevrolet::Flooding_CHEVROLET_Spark_train.csv::seg_test,72350,85000,,,,252,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_CHEVROLET_Spark_train.csv,Chevrolet,fuzzy,train,Chevrolet::Fuzzy_CHEVROLET_Spark_train.csv::train,0,28700,28700,28800,,573,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_CHEVROLET_Spark_train.csv,Chevrolet,fuzzy,validation,Chevrolet::Fuzzy_CHEVROLET_Spark_train.csv::seg_val,28800,34850,34850,34950,,120,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Fuzzy_CHEVROLET_Spark_train.csv,Chevrolet,fuzzy,test,Chevrolet::Fuzzy_CHEVROLET_Spark_train.csv::seg_test,34950,41000,,,,120,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_CHEVROLET_Spark_train.csv,Chevrolet,malfunction,train,Chevrolet::Malfunction_CHEVROLET_Spark_train.csv::train,0,35700,35700,35800,,713,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_CHEVROLET_Spark_train.csv,Chevrolet,malfunction,validation,Chevrolet::Malfunction_CHEVROLET_Spark_train.csv::seg_val,35800,43350,43350,43450,,150,12,pass,contiguous_segment
/Users/iyadatieh/Library/CloudStorage/OneDrive-Personal/University of Reading/CodeRepo/Dataset/In-Vehicle Network Intrusion Detection Challenge/car_track_preliminary_train/Malfunction_CHEVROLET_Spark_train.csv,Chevrolet,malfunction,test,Chevrolet::Malfunction_CHEVROLET_Spark_train.csv::seg_test,43450,51000,,,,150,12,pass,contiguous_segment
